,txt,label
0,3 Killed By Suspected Cow Smugglers In Meghalaya,1
1,Man Sentenced To Death For Raping 9-Year-Old In Madhya Pradesh,1
2,"1 Dead, Over 100 Rescued From Chinchoti Waterfall After Rains Lash Mumbai",1
3,Public Works Department Asks Officials To Check Waterlogging During Rains,1
4,Will Return To Pakistan In 10 Days: Maryam Nawaz Sharif,1
5,"""Don't Approve"": Yashwant Sinha Slams Son Jayant For Garlanding Convicts",1
6,"""Zakir Naik Will Never Get Access To Bangladesh"": Sheikh Hasina's Aide",1
7,Dead Lizard In Delhi School's Mid-Day Meal Leaves 2 Girls Hospitalised,1
8,"BJP Lawmaker Blames Internet, Smartphones For Rise In Crimes Against Women",1
9,"Grand Alliance Of Opposition Parties Is Imaginary, Says BJP",1
10,Shiv Sena Attacks BJP Over Water-Logging In Nagpur After Heavy Rains,1
11,"AIADMK Says It Favours Proposal For Simultaneous Polls, But After 2021",1
12,Conditions 'Perfect' For Evacuation Of Thai Boys In Cave,1
13,"Mithun Chakraborty's Wife, Son Get Anticipatory Bail In Rape Case",1
14,No Record Of 280 Births At Missionaries of Charity's Ranchi Facility,1
15,No Record Of 280 Births At Missionaries of Charity's Ranchi Facility,1
16,"Class 4 Boy ""Mercilessly"" Beaten Up By Principal In UP's Gorakhpur",1
17,Centre Should Approach Court Over Confusion On Services: Arvind Kejriwal,1
18,"US Demand Of Irreversible Denuclearisation ""Troubling"", Says North Korea",1
19,"As China Tariff War Escalates, US Oil Sellers May Look To India",1
20,Rajasthan Woman Allegedly Burnt Alive By Husband And Father-In-Law,1
21,"Hardik Patel, Jignesh Mevani Charged Over 'Raid' At Woman's House",1
22,Standard Of Living Has Improved Since BJP Came To Power: Yogi Adityanath,1
23,Canadian Mountaineer Falls To Death On Mount K2,1
24,"Dawood Ibrahim Aide Naim Khan, Wife Arrested For AK-56 Rifle Possession",1
25,Will Nirbhaya Rapists Be Spared Death? Supreme Court To Decide On Monday,1
26,"5.9-Magnitude Earthquake Felt In Tokyo, No Tsunami Warning",1
27,Not Averse To Working With Congress To Oust BJP: Mamata Banerjee,1
28,"""Floating Bodies Drifting In The Sea"": Thai Boat Tragedy Leaves 37 Dead",1
29,CRPF Jawan Injured In Grenade Attack In Srinagar,1
30,"World Chocolate Day: From Currency To Snack, The Story Of Chocolate",1
31,US Using DNA Testing In Effort To Reunite Families It Separated,1
32,Congress Party's No-Trust Motion Against Raman Singh Government Defeated,1
33,"""Don't Call Off Marriages Over Trivial Issues"": Goa Governor To Students",1
34,Iranian Oil Minister Calls Donald Trump's Order To OPEC Insulting,1
35,PM Modi's 'Bail-<i>Gaadi</i>' Dig At Congress On Shashi Tharoor's Day In Court,1
36,Elon Musk Team Working On Escape Pod Design To Save Trapped Thai Children,1
37,"""Not Feasible To Hold Simultaneous Polls"", Says Puducherry CM",1
38,BJP Ally Goa Forward Party Opposes Simultaneous Polls,1
39,"Nuclear Talks With North Korea ""Very Productive"": Mike Pompeo",1
40,"""Gross Misconduct"": Scotland Yard's Indian-Origin Officer Gets Notice",1
41,Thai Boys Ask For Less Homework In First Letters From Flooded Cave,1
42,Vijay Mallya's Properties Can't Be Seized Under Current Order: UK Lawyer,1
43,All Pilgrims Stranded At Kailash Mansarovar Evacuated From Nepal,1
44,16 Injured After 2 Buses Collide Head-On In Jammu And Kashmir's Reasi,1
45,UK Town To Be Amritsar's Twin City In Memory Of Maharaja Duleep Singh,1
46,"Heavy Rain Expected In Mumbai For 5 Days, Life Paralysed In Maharashtra",1
47,1992 Securities Scam: Senior Bank Officials Among 5 Sentenced,1
48,Inside Qatar's Lavish $24 Million Charm Offensive To Win Over The US,1
49,Iran Executes Eight Terrorists Over Deadly ISIS Attacks In Tehran,1
50,Mike Pompeo In Pyongyang To Seek Concrete Nuclear Commitments,1
51,Donald Trump Gifts Elton John's 'Rocket Man' To North Korea's Kim Jong-Un,1
52,"At Mega Jaipur Rally, PM Modi Says ""Vikas Our Only Agenda"": Highlights",1
53,"UK Launches New Visas Open To Indian Scientists, Academics",1
54,"""We Were Shot At"", Says Army After 3 Killed In Firing In Kashmir's Kulgam",1
55,Rahul Gandhi Meets Bhutanese Prime Minister Tshering Tobgay,1
56,"Man Falls On Tracks At Delhi Metro Station, Rescued",1
57,"In Protest Against Nobel Prize Scandal, Intellectuals Seek Alternative",1
58,Body Of Fourth Boy Who Drowned At Mumbai's Juhu Beach Found,1
59,BJP Keen To Continue Governor's Rule In Jammu and Kashmir: Ram Madhav,1
60,"India's 'Forrest Gump' Ran For 13,750 Km, Felicitated At Wagah Border",1
61,Alert Passenger's Tweet Saves 25 Girls From Being Trafficked,1
62,"""Love To Mum, Dad..."": From Boys Trapped In Thai Cave, Letters Of Hope",1
63,"At Least 49 Killed, 48 Missing As Torrential Rain Pounds Japan",1
64,"Over 2,200 Pilgrims Embark On Amarnath Yatra After 2-Day Suspension Ends",1
65,"""Honouring Law"": Jayant Sinha On Row Over Felicitating Lynching Convicts",1
66,"Maldives Snubs India Again, Inks Power Sector Deal With Pakistan",1
67,Governor Seeks Report On Twitter Complaints About Mehbooba Mufti's Party,1
68,100 'Chimneys' Drilled Into Mountain In Bid To Reach Trapped Thai Boys,1
69,"""There Is Limited Time"", Say Rescuers Of Thai Boys Trapped In Cave",1
70,Amul Thapar Not On Donald Trump's Shortlist For US Supreme Court: Report,1
71,54 Deaths Reported In Week-Long Heat Wave In Canada,1
72,"Theresa May Hails ""Breakthrough"" At Brexit Meeting With Her Cabinet",1
73,"""It Did Occur,"" Says Reporter Who Accused Justin Trudeau Of Groping Her",1
